generation,best_fitness,avg_fitness,best_distance,best_travel_time,best_violations,num_valid,num_invalid,unique_permutations,population_diversity
1,-409703.23332746845,-593899.8742276505,359832.13740053977,34703.23332746847,75,0,100,100,48.93684210526316
2,-409703.23332746845,-573005.3974690693,359832.13740053977,34703.23332746847,75,0,100,98,48.584210526315786
3,-384835.5210117769,-530877.2054329305,357088.17093763803,34835.52101177688,70,0,100,93,48.45789473684211
4,-246952.1651951789,-490662.11767516716,327882.6324897905,31952.165195178917,43,0,100,95,47.46842105263158
5,-246952.1651951789,-474506.8979786113,327882.6324897905,31952.165195178917,43,0,100,96,45.910526315789475
6,-246952.1651951789,-456496.05829939176,327882.6324897905,31952.165195178917,43,0,100,93,45.53157894736842
7,-246952.1651951789,-432062.64549421775,327882.6324897905,31952.165195178917,43,0,100,92,44.794736842105266
8,-246952.1651951789,-421119.2829050297,327882.6324897905,31952.165195178917,43,0,100,91,46.02105263157895
9,-183000.6196664904,-402277.9806191607,338311.17103168194,33000.61966649041,30,0,100,92,44.51052631578948
10,-183000.6196664904,-397702.51886028866,338311.17103168194,33000.61966649041,30,0,100,93,47.00526315789474
11,-183000.6196664904,-382757.38465842523,338311.17103168194,33000.61966649041,30,0,100,97,46.37894736842105
12,-183000.6196664904,-387872.6153715238,338311.17103168194,33000.61966649041,30,0,100,98,44.45789473684211
13,-183000.6196664904,-379269.04256185226,338311.17103168194,33000.61966649041,30,0,100,97,45.73684210526316
14,-183000.6196664904,-358911.73448092176,338311.17103168194,33000.61966649041,30,0,100,98,45.28947368421053
15,-183000.6196664904,-364895.0414066375,338311.17103168194,33000.61966649041,30,0,100,98,46.66315789473684
16,-178737.02087229802,-359812.79941815505,347095.71242725966,33737.02087229801,29,0,100,97,44.247368421052634
17,-178737.02087229802,-351139.1786208472,347095.71242725966,33737.02087229801,29,0,100,97,43.93157894736842
18,-177353.61669710648,-333488.2846974429,331777.38579540036,32353.61669710647,29,0,100,99,41.37894736842105
19,-146029.8608072315,-303705.0166551851,319998.6824279639,31029.860807231515,23,0,100,98,40.21052631578947
20,-146029.8608072315,-295653.8325042043,319998.6824279639,31029.860807231515,23,0,100,94,37.99473684210526
21,-146029.8608072315,-280829.79708324076,319998.6824279639,31029.860807231515,23,0,100,97,35.92631578947368
22,-146029.8608072315,-266171.8309904215,319998.6824279639,31029.860807231515,23,0,100,89,36.86842105263158
23,-140677.6211736502,-234483.8379863356,313482.5362147343,30677.621173650197,22,0,100,89,34.089473684210525
24,-140677.6211736502,-229355.81275328994,313482.5362147343,30677.621173650197,22,0,100,88,30.894736842105264
25,-140408.32451856468,-212790.6384602728,313435.5707413967,30408.324518564685,22,0,100,90,28.821052631578947
26,-134673.26687715398,-197174.4417004557,304007.6613839681,29673.266877153965,21,0,100,78,27.88421052631579
27,-124205.39231446336,-175401.4772821443,299332.6676243519,29205.392314463363,19,0,100,81,21.852631578947367
