scale_name,num_customers,num_vehicles,ratio_name,rand_pct,greedy_pct,nn_pct,gen0_best_km,gen0_avg_km,gen200_best_km,best_time_s,ga_time_s,violations,is_valid
50_cust,50,5,Balanced (34/33/33),0.34,0.33,0.33,100.76,193.54,103.14,10634.8,6.88,0,True
50_cust,50,5,Heuristic Heavy (10/45/45),0.1,0.45,0.45,100.08,161.04,99.82,10249.7,6.93,0,True
50_cust,50,5,Greedy Heavy (20/60/20),0.2,0.6,0.2,100.08,188.32,100.26,10254.4,6.83,1,False
50_cust,50,5,NN Heavy (20/20/60),0.2,0.2,0.6,100.08,156.78,98.82,10137.4,6.98,0,True
50_cust,50,5,Exploratory (60/20/20),0.6,0.2,0.2,100.08,230.72,104.39,10733.2,6.69,0,True
100_cust,100,10,Balanced (34/33/33),0.34,0.33,0.33,181.91,374.62,213.37,21773.6,13.16,3,False
100_cust,100,10,Heuristic Heavy (10/45/45),0.1,0.45,0.45,182.49,313.03,208.48,21414.1,13.13,3,False
100_cust,100,10,Greedy Heavy (20/60/20),0.2,0.6,0.2,186.24,375.86,208.57,21863.0,13.11,3,False
100_cust,100,10,NN Heavy (20/20/60),0.2,0.2,0.6,181.91,301.16,192.05,19870.0,13.23,3,False
100_cust,100,10,Exploratory (60/20/20),0.6,0.2,0.2,182.76,444.64,193.68,20386.3,13.01,3,False
200_cust,200,20,Balanced (34/33/33),0.34,0.33,0.33,322.36,697.01,370.48,37962.3,9.55,0,True
200_cust,200,20,Heuristic Heavy (10/45/45),0.1,0.45,0.45,322.36,545.67,401.64,40761.9,6.25,0,True
200_cust,200,20,Greedy Heavy (20/60/20),0.2,0.6,0.2,327.48,672.51,394.65,40180.5,5.99,0,True
200_cust,200,20,NN Heavy (20/20/60),0.2,0.2,0.6,324.41,554.65,394.56,40718.7,6.43,0,True
200_cust,200,20,Exploratory (60/20/20),0.6,0.2,0.2,328.1,869.45,385.28,39277.6,6.26,0,True
500_cust,500,25,Balanced (34/33/33),0.34,0.33,0.33,473.81,1605.12,488.32,50245.5,14.01,158,False
500_cust,500,25,Heuristic Heavy (10/45/45),0.1,0.45,0.45,471.46,1194.89,484.73,50192.9,14.63,158,False
500_cust,500,25,Greedy Heavy (20/60/20),0.2,0.6,0.2,470.69,1573.39,493.56,50809.5,14.18,158,False
500_cust,500,25,NN Heavy (20/20/60),0.2,0.2,0.6,473.99,1152.29,475.18,49399.0,14.17,158,False
500_cust,500,25,Exploratory (60/20/20),0.6,0.2,0.2,473.44,2064.46,480.61,49618.7,14.4,158,False
1000_cust,1000,50,Balanced (34/33/33),0.34,0.33,0.33,814.4,3070.45,845.9,86551.2,43.83,261,False
1000_cust,1000,50,Heuristic Heavy (10/45/45),0.1,0.45,0.45,816.56,2262.98,852.74,87594.4,43.71,261,False
1000_cust,1000,50,Greedy Heavy (20/60/20),0.2,0.6,0.2,812.34,3075.4,875.41,89816.6,42.98,261,False
1000_cust,1000,50,NN Heavy (20/20/60),0.2,0.2,0.6,815.84,2179.94,870.03,89432.4,43.82,261,False
1000_cust,1000,50,Exploratory (60/20/20),0.6,0.2,0.2,828.43,3991.94,871.7,90291.3,42.45,261,False
