generation,best_fitness,avg_fitness,best_distance,best_travel_time,best_violations,num_valid,num_invalid,unique_permutations,population_diversity
1,-18591.7811140537,-91261.71183880075,150330.43763611434,18591.7811140537,0,1,99,100,39.03157894736842
2,-18591.7811140537,-73448.03295480908,150330.43763611434,18591.7811140537,0,1,99,97,38.747368421052634
3,-18591.7811140537,-59364.34706041471,150330.43763611434,18591.7811140537,0,1,99,100,38.252631578947366
4,-18542.16026321325,-56250.831087573,148257.1328090888,18542.16026321325,0,3,97,98,38.66315789473684
5,-16581.099454633793,-55788.94884294644,129574.1716292243,16581.099454633793,0,6,94,98,38.61578947368421
6,-16581.099454633793,-49850.007601221965,129574.1716292243,16581.099454633793,0,7,93,96,37.93157894736842
7,-16581.099454633793,-43365.82088842951,129574.1716292243,16581.099454633793,0,11,89,97,37.76842105263158
8,-16581.099454633793,-43268.72686695387,129574.1716292243,16581.099454633793,0,13,87,100,36.62105263157895
9,-16581.099454633793,-39901.96735814875,129574.1716292243,16581.099454633793,0,13,87,98,36.77368421052632
10,-16277.62721965585,-33448.635738258745,126061.56751483024,16277.62721965585,0,16,84,96,35.23684210526316
11,-16114.428594823032,-34123.43423243327,128162.28601315265,16114.428594823032,0,26,74,96,36.43684210526316
12,-16114.428594823032,-30537.349964376524,128162.28601315265,16114.428594823032,0,23,77,94,36.252631578947366
13,-15850.01006193682,-31929.550729062958,125898.68700782546,15850.01006193682,0,37,63,91,35.51052631578948
14,-15850.01006193682,-29390.70914300622,125898.68700782546,15850.01006193682,0,42,58,94,27.86315789473684
15,-15348.16186188583,-25435.67881955379,122172.06282919936,15348.16186188583,0,53,47,90,29.826315789473686
16,-15348.16186188583,-23890.797655695773,122172.06282919936,15348.16186188583,0,64,36,82,27.226315789473684
17,-15093.399288993338,-19640.1522194758,120009.32537746715,15093.399288993338,0,85,15,73,19.18421052631579
18,-14334.810593068967,-17822.160371019207,112816.01029903707,14334.810593068967,0,89,11,75,15.7
19,-14073.451848811997,-17823.478976176088,110392.09429682457,14073.451848811997,0,90,10,80,15.673684210526316
