depot_id,customers,vehicles,exact_dist_km,hq_dist_km,annealed_turing_dist_km,fast_turing_dist_km,ga_dist_km,qpso_dist_km,exact_time_s,hq_time_s,annealed_turing_time_s,fast_turing_time_s,ga_time_s,qpso_time_s,violations
1,37,3,10.98,10.94,14.02,15.4,14.46,16.61,1.1661393642425537,0.3314223289489746,0.3013267517089844,0.04848194122314453,0.057822465896606445,0.10246443748474121,0
3,1,1,1.77,1.77,1.77,1.77,1.77,1.77,0.0,0.0,0.0,0.002998828887939453,0.0,0.0,0
4,2,1,1.6,1.6,1.6,1.6,1.6,1.6,1.0009710788726807,0.006774187088012695,0.0010139942169189453,0.005439281463623047,0.0,0.01668548583984375,0
5,6,1,2.95,2.95,2.95,2.95,2.99,2.95,1.0027062892913818,0.03112936019897461,0.0,0.015813112258911133,0.005233049392700195,0.013671636581420898,0
6,18,2,6.32,6.37,6.37,7.4,9.03,9.33,1.004296064376831,0.31826257705688477,0.14918756484985352,0.05466103553771973,0.02501654624938965,0.03537249565124512,0
7,7,1,3.16,3.16,3.16,3.2,3.32,3.29,1.0072007179260254,0.06748175621032715,0.016419172286987305,0.0003070831298828125,0.016100406646728516,0.016321897506713867,0
8,3,1,7.13,7.13,7.13,7.13,7.13,7.13,0.9929609298706055,0.0049970149993896484,0.0009989738464355469,0.0030019283294677734,0.007998228073120117,0.03556656837463379,0
9,10,1,8.05,8.05,9.59,9.11,8.77,20.03,0.9990987777709961,0.07568001747131348,0.016376733779907227,0.016954660415649414,0.0017881393432617188,0.03153586387634277,0
10,1,1,0.35,0.35,0.35,0.35,0.35,0.35,0.0,0.0,0.0,0.0029997825622558594,0.0,0.0,0
11,7,1,6.81,6.81,6.81,6.83,6.87,6.93,1.0020036697387695,0.0774543285369873,0.01522064208984375,0.012095212936401367,0.012579679489135742,0.00513458251953125,0
12,6,1,3.79,3.79,3.79,3.79,3.82,3.82,1.0028338432312012,0.039638519287109375,0.013211965560913086,0.012789487838745117,0.014162778854370117,0.023606300354003906,0
14,1,1,4.01,4.01,4.01,4.01,4.01,4.01,0.0,0.0,0.0,0.0009996891021728516,0.0,0.0,0
