trial,seed,num_customers,num_vehicles,capacity,hq_distance_km,exact_distance_km,gap_pct,hq_runtime_sec,exact_runtime_sec,speedup_factor,hq_violations,beats_exact,matches_exact
1,107,30,4,30,267.36,250.59,6.692,2.519,6.023,2.39,0,False,False
2,114,40,5,35,294.15,289.67,1.547,2.562,6.005,2.34,0,False,False
3,121,50,6,40,339.74,336.49,0.966,2.62,6.009,2.29,0,False,False
4,128,30,4,30,268.78,266.62,0.81,2.508,6.006,2.39,0,False,False
5,135,40,5,35,298.55,297.66,0.299,2.634,6.002,2.28,0,False,False
6,142,50,6,40,347.69,337.82,2.922,2.801,5.999,2.14,0,False,False
7,149,30,4,30,237.83,236.3,0.647,2.525,5.999,2.38,0,False,False
8,156,40,5,35,317.86,302.28,5.154,2.528,6.007,2.38,0,False,False
9,163,50,6,40,339.82,349.29,-2.711,3.844,5.998,1.56,0,True,False
10,170,30,4,30,225.11,222.13,1.342,2.543,6.0,2.36,0,False,False
11,177,40,5,35,298.1,280.44,6.297,2.505,6.002,2.4,0,False,False
12,184,50,6,40,375.19,368.94,1.694,2.896,5.999,2.07,0,False,False
13,191,30,4,30,268.03,264.56,1.312,2.526,5.998,2.37,0,False,False
14,198,40,5,35,295.99,295.08,0.308,2.682,6.008,2.24,0,False,False
15,205,50,6,40,315.88,305.33,3.455,3.555,6.009,1.69,0,False,False
16,212,30,4,30,252.96,253.93,-0.382,2.569,6.015,2.34,0,True,False
17,219,40,5,35,293.32,288.25,1.759,2.858,5.998,2.1,0,False,False
18,226,50,6,40,340.88,356.55,-4.395,2.592,6.0,2.31,0,True,False
19,233,30,4,30,265.08,260.61,1.715,2.513,5.995,2.39,0,False,False
20,240,40,5,35,311.27,310.31,0.309,2.615,6.001,2.29,0,False,False
21,247,50,6,40,355.65,355.84,-0.053,2.682,6.007,2.24,0,True,False
22,254,30,4,30,255.33,255.31,0.008,2.512,6.003,2.39,0,False,False
23,261,40,5,35,305.05,306.6,-0.506,2.678,6.004,2.24,0,True,False
24,268,50,6,40,351.95,353.01,-0.3,2.596,6.006,2.31,0,True,False
25,275,30,4,30,248.92,242.91,2.474,2.511,6.012,2.39,0,False,False
26,282,40,5,35,309.57,306.62,0.962,2.515,5.988,2.38,0,False,False
27,289,50,6,40,343.88,339.19,1.383,2.607,6.007,2.3,0,False,False
28,296,30,4,30,289.18,289.17,0.003,2.539,6.001,2.36,0,False,True
29,303,40,5,35,312.74,307.4,1.737,2.534,6.002,2.37,0,False,False
30,310,50,6,40,329.98,322.13,2.437,2.637,5.997,2.27,0,False,False
