depot_id,customers,vehicles,hq_dist_km,exact_dist_km,qpso_dist_km,ga_dist_km,hq_time_s,exact_time_s,qpso_time_s,ga_time_s,hq_violations,exact_violations
1,33,3,83.19,83.13,99.37,100.69,1.0413672924041748,2.0679051876068115,0.13282036781311035,0.1133122444152832,0,0
2,11,1,23.61,23.61,43.16,33.12,0.07914948463439941,2.0072901248931885,0.06360507011413574,0.03722357749938965,0,0
3,8,1,25.81,25.81,26.94,26.87,0.08226299285888672,1.9987201690673828,0.05616474151611328,0.029288291931152344,0,0
4,6,1,24.98,24.98,24.98,26.86,0.030820846557617188,1.9879696369171143,0.04862213134765625,0.0313720703125,0,0
5,7,1,40.86,40.86,40.91,40.91,0.02210068702697754,1.9966776371002197,0.049828529357910156,0.014030694961547852,0,0
6,20,2,65.24,65.24,68.81,84.73,1.005721092224121,1.999945878982544,0.10882878303527832,0.07192564010620117,0,0
7,4,1,35.04,35.04,35.05,35.05,0.0,2.0036699771881104,0.047597408294677734,0.015805721282958984,0,0
8,46,4,115.65,108.15,148.89,137.3,1.052950382232666,2.006836414337158,0.2048654556274414,0.1251509189605713,0,0
9,16,2,47.4,45.81,48.71,51.83,0.7027525901794434,2.0003175735473633,0.07900190353393555,0.05588197708129883,0,0
10,56,4,114.02,109.42,138.44,142.38,1.309948444366455,2.010488271713257,0.2314441204071045,0.18681979179382324,0,0
11,1,1,2.81,2.81,2.81,2.81,0.0,0.0,0.0,0.0,0,0
12,39,3,68.57,63.77,80.55,84.69,1.0024323463439941,1.9952492713928223,0.16953802108764648,0.09501814842224121,0,0
13,26,2,38.85,38.85,45.13,42.89,1.0171544551849365,1.994447946548462,0.10349488258361816,0.07996177673339844,0,0
14,9,1,39.19,39.19,39.46,42.93,0.0951542854309082,2.002793550491333,0.061283111572265625,0.02933669090270996,0,0
15,39,3,95.22,93.2,118.54,112.75,1.0512795448303223,2.005408525466919,0.1693096160888672,0.11633920669555664,0,0
16,31,3,68.72,68.72,85.47,81.58,1.0263524055480957,1.9958510398864746,0.14254093170166016,0.09381270408630371,0,0
17,81,6,109.42,109.38,135.08,141.13,1.421180009841919,2.0001118183135986,0.3287184238433838,0.22639727592468262,0,0
18,29,2,43.04,42.87,49.68,51.84,1.019944429397583,1.9935588836669922,0.12085771560668945,0.09508442878723145,0,0
19,20,2,45.61,45.09,52.85,56.07,0.6273279190063477,1.9888277053833008,0.110748291015625,0.06427240371704102,0,0
20,18,2,51.08,50.29,52.49,58.72,1.0289783477783203,1.991063117980957,0.17288994789123535,0.12131786346435547,0,0
