depot_id,customers,vehicles,turing_hq_dist_km,std_hq_dist_km,exact_dist_km,turing_time_s,pruned_edges,turing_score,violations
1,33,3,88.86,83.19,83.13,0.323,12,80.4,0
2,11,1,25.69,23.61,23.61,0.017,4,82.1,0
3,8,1,25.97,25.81,25.81,0.0,4,80.1,0
4,6,1,24.98,24.98,24.98,0.007,0,88.8,0
5,7,1,40.89,40.86,40.86,0.012,0,80.1,0
6,20,2,70.06,65.24,65.24,0.05,20,80.5,0
7,4,1,35.05,35.04,35.04,0.0,0,87.8,0
8,46,4,130.63,115.65,108.15,0.267,27,58.9,0
9,16,2,49.16,47.4,45.81,0.034,1,75.8,0
10,56,4,128.66,114.02,109.42,0.483,31,59.2,0
11,1,1,2.81,2.81,2.81,0.0,0,97.6,0
12,39,3,75.87,68.57,63.77,0.297,16,69.8,0
13,26,2,41.51,38.85,38.85,0.084,4,58.9,0
14,9,1,39.46,39.19,39.19,0.009,3,84.5,0
15,39,3,106.44,95.22,93.2,0.199,15,63.5,0
16,31,3,78.84,68.72,68.72,0.199,11,78.4,0
17,81,6,124.6,109.42,109.38,1.054,38,59.1,0
18,29,2,46.95,43.04,42.87,0.159,14,69.0,0
19,20,2,46.65,45.61,45.09,0.033,7,69.9,0
20,18,2,52.76,51.08,50.29,0.045,6,65.2,0
