depot_id,customers,vehicles,turing_dist_km,hq_dist_km,exact_dist_km,qpso_dist_km,ga_dist_km,turing_time_s,hq_time_s,exact_time_s,qpso_time_s,ga_time_s,violations
1,14,2,44.12,38.41,38.41,47.34,54.63,0.03331732749938965,0.6451518535614014,1.0753860473632812,0.04774594306945801,0.04650473594665527,0
2,7,1,11.24,10.5,10.5,12.29,11.66,0.0,0.03891491889953613,1.0071110725402832,0.02593064308166504,0.02462291717529297,0
3,14,1,29.85,29.85,29.85,35.78,37.05,0.011095046997070312,0.2208690643310547,0.9971976280212402,0.0475614070892334,0.03169131278991699,0
4,1,1,6.44,6.44,6.44,6.44,6.44,0.0,0.0,0.0,0.0,0.0,0
5,1,1,11.13,11.13,11.13,11.13,11.13,0.0,0.0,0.0,0.0,0.0,0
6,4,1,9.77,9.56,9.56,9.77,9.56,0.012613534927368164,0.0,1.0070877075195312,0.031363725662231445,0.01575779914855957,0
7,58,4,111.86,89.26,79.05,162.77,104.6,0.26443004608154297,1.227637767791748,1.0006887912750244,0.13974571228027344,0.11191916465759277,0
8,3,1,5.61,5.6,5.6,5.6,5.6,0.001729726791381836,0.003679513931274414,1.0007917881011963,0.023766279220581055,0.013274669647216797,0
9,9,1,24.08,20.77,20.77,24.61,24.57,0.009060859680175781,0.05837059020996094,1.0013880729675293,0.03913283348083496,0.020875930786132812,0
10,32,3,49.69,34.3,34.3,49.49,47.51,0.0719444751739502,0.8708858489990234,1.0021576881408691,0.09868621826171875,0.06882619857788086,0
11,23,2,36.08,33.11,33.11,42.92,47.07,0.14165329933166504,0.8012115955352783,0.999406099319458,0.06991887092590332,0.057749271392822266,0
12,30,3,35.48,33.23,32.52,44.95,41.68,0.26152968406677246,0.8328619003295898,0.9898955821990967,0.11142325401306152,0.06530547142028809,0
14,4,1,16.9,16.9,16.9,16.9,16.92,0.0,0.005144834518432617,0.9962713718414307,0.029707908630371094,0.009512186050415039,0
15,34,3,36.19,33.44,32.29,45.58,42.28,0.24138832092285156,0.82615065574646,1.010504961013794,0.09531807899475098,0.06403040885925293,0
16,60,4,71.14,64.31,64.16,82.13,77.69,0.5524768829345703,0.87632155418396,1.0033679008483887,0.1730177402496338,0.12551617622375488,0
17,27,2,39.5,36.59,36.47,42.29,42.06,0.11967825889587402,0.8103809356689453,1.0015912055969238,0.08053421974182129,0.05668973922729492,0
18,37,3,68.49,55.15,53.78,78.16,76.77,0.29364728927612305,0.812894344329834,0.9992485046386719,0.09360051155090332,0.1004786491394043,0
19,19,2,25.64,24.58,24.58,31.49,27.86,0.03171849250793457,0.5625994205474854,1.0009210109710693,0.06717610359191895,0.04166007041931152,0
20,17,2,51.3,43.42,39.87,55.26,52.38,0.07506561279296875,0.7983181476593018,1.0021417140960693,0.04288983345031738,0.028840303421020508,0
21,13,1,25.43,22.42,22.42,31.23,34.06,0.013108968734741211,0.07340764999389648,1.001328468322754,0.03605246543884277,0.01989006996154785,0
22,21,2,71.14,63.57,62.59,83.39,79.47,0.03917717933654785,0.8124794960021973,0.9985942840576172,0.047451019287109375,0.047663211822509766,0
23,40,3,52.26,43.87,45.6,51.75,58.67,0.20014572143554688,0.855736255645752,0.9922175407409668,0.11137151718139648,0.09479308128356934,0
24,14,1,55.99,37.48,37.48,43.82,44.34,0.010304927825927734,0.12305569648742676,0.9980869293212891,0.04326272010803223,0.0275728702545166,0
25,10,1,26.11,26.11,26.09,27.31,27.43,0.005166769027709961,0.08390522003173828,1.0076050758361816,0.031639814376831055,0.015871047973632812,0
26,7,1,14.58,14.58,14.58,17.44,16.73,0.0,0.0485689640045166,1.000659704208374,0.02982497215270996,0.01584601402282715,0
27,29,2,42.86,39.89,39.84,47.24,48.31,0.19788646697998047,0.8003847599029541,1.004709005355835,0.08319354057312012,0.06870412826538086,0
28,5,1,14.9,14.9,14.9,15.04,17.17,0.0,0.015854597091674805,0.9928555488586426,0.02811598777770996,0.015909433364868164,0
29,26,2,42.95,40.13,39.67,45.88,46.87,0.09866714477539062,0.8435804843902588,1.0138754844665527,0.08007407188415527,0.060495853424072266,0
30,6,1,16.02,16.02,16.02,17.41,17.44,0.01574540138244629,0.01581406593322754,0.9974613189697266,0.03935074806213379,0.017363309860229492,0
31,38,3,49.96,41.06,40.7,45.45,44.62,0.2253561019897461,0.8244869709014893,1.008983850479126,0.09868168830871582,0.07570791244506836,0
32,1,1,1.28,1.28,1.28,1.28,1.28,0.0,0.0,0.0,0.0,0.0,0
33,5,1,20.61,20.55,20.55,20.7,20.61,0.01014089584350586,0.015813589096069336,1.0005438327789307,0.023342132568359375,0.008852481842041016,0
34,40,3,72.71,60.64,56.88,77.89,73.04,0.17261600494384766,0.8761742115020752,0.9962918758392334,0.06616640090942383,0.04343271255493164,0
35,32,3,49.51,41.28,40.88,55.73,46.54,0.0685884952545166,0.820892333984375,0.9942286014556885,0.06353092193603516,0.023824691772460938,0
36,9,1,18.44,17.55,17.55,23.59,23.73,0.007525205612182617,0.04778313636779785,1.0118281841278076,0.02662205696105957,0.011605262756347656,0
37,22,2,36.54,33.97,33.64,38.27,43.49,0.060221195220947266,0.8118405342102051,1.0026540756225586,0.0665276050567627,0.031639814376831055,0
38,8,1,13.48,11.96,11.96,11.96,11.96,0.0,0.02170538902282715,1.0130751132965088,0.003192901611328125,0.015809297561645508,0
39,42,3,65.44,52.22,47.71,86.75,68.06,0.08675694465637207,0.8969364166259766,0.985755443572998,0.06692767143249512,0.03161215782165527,0
